event,run,mode,cnn_us,cycles,pred_idx
inference,1,offline,224539,35926366,11
inference,2,offline,224539,35926278,11
inference,3,offline,224539,35926279,11
inference,4,offline,224539,35926316,11
inference,5,offline,224539,35926398,11
inference,6,offline,224540,35926407,11
inference,7,offline,224539,35926393,11
inference,8,offline,224539,35926368,11
inference,9,offline,224539,35926338,11
inference,10,offline,224539,35926299,11
inference,11,offline,224539,35926360,11
inference,12,offline,224539,35926303,11
inference,13,offline,224539,35926353,11
inference,14,offline,224539,35926307,11
inference,15,offline,224539,35926353,11
inference,16,offline,224539,35926320,11
inference,17,offline,224539,35926339,11
inference,18,offline,224539,35926337,11
inference,19,offline,224539,35926345,11
inference,20,offline,224539,35926353,11
inference,21,offline,224539,35926347,11
inference,22,offline,224539,35926375,11
inference,23,offline,224539,35926374,11
inference,24,offline,224540,35926422,11
inference,25,offline,224540,35926421,11
inference,26,offline,224539,35926388,11
inference,27,offline,224539,35926399,11
inference,28,offline,224540,35926401,11
inference,29,offline,224540,35926416,11
inference,30,offline,224539,35926336,11
inference,31,offline,224539,35926360,11
inference,32,offline,224539,35926364,11
inference,33,offline,224539,35926351,11
inference,34,offline,224539,35926292,11
inference,35,offline,224539,35926303,11
inference,36,offline,224539,35926265,11
inference,37,offline,224539,35926275,11
inference,38,offline,224539,35926282,11
inference,39,offline,224539,35926296,11
inference,40,offline,224539,35926325,11
inference,41,offline,224539,35926299,11
inference,42,offline,224539,35926309,11
inference,43,offline,224539,35926286,11
inference,44,offline,224539,35926312,11
inference,45,offline,224539,35926318,11
inference,46,offline,224539,35926362,11
inference,47,offline,224539,35926308,11
inference,48,offline,224540,35926408,11
inference,49,offline,224539,35926357,11
