event,run,mode,cnn_us,cycles,pred_idx
inference,0,offline,3946,3156800,2
inference,1,offline,1878,1502400,2
inference,2,offline,1878,1502400,2
inference,3,offline,1785,1428000,2
inference,4,offline,1777,1421600,2
inference,5,offline,1723,1378400,2
inference,6,offline,1735,1388000,2
inference,7,offline,1735,1388000,2
inference,8,offline,1737,1389600,2
inference,9,offline,1735,1388000,2
inference,10,offline,1736,1388800,2
inference,11,offline,1748,1398400,2
inference,12,offline,1722,1377600,2
inference,13,offline,1735,1388000,2
inference,14,offline,1735,1388000,2
inference,15,offline,1749,1399200,2
inference,16,offline,1737,1389600,2
inference,17,offline,1735,1388000,2
inference,18,offline,1736,1388800,2
inference,19,offline,1746,1396800,2
inference,20,offline,1873,1498400,2
inference,21,offline,1749,1399200,2
inference,22,offline,1749,1399200,2
inference,23,offline,1758,1406400,2
inference,24,offline,1759,1407200,2
inference,25,offline,1784,1427200,2
inference,26,offline,1802,1441600,2
inference,27,offline,1769,1415200,2
inference,28,offline,1783,1426400,2
inference,29,offline,1750,1400000,2
inference,30,offline,1748,1398400,2
inference,31,offline,1735,1388000,2
inference,32,offline,1854,1483200,2
inference,33,offline,1784,1427200,2
inference,34,offline,1751,1400800,2
inference,35,offline,1760,1408000,2
inference,36,offline,1736,1388800,2
inference,37,offline,1723,1378400,2
inference,38,offline,1805,1444000,2
inference,39,offline,1770,1416000,2
inference,40,offline,1783,1426400,2
inference,41,offline,1750,1400000,2
inference,42,offline,1760,1408000,2
inference,43,offline,1737,1389600,2
inference,44,offline,1790,1432000,2
inference,45,offline,1762,1409600,2
inference,46,offline,1735,1388000,2
inference,47,offline,1750,1400000,2
inference,48,offline,1770,1416000,2
inference,49,offline,1783,1426400,2
