event,run,mode,cnn_us,cycles,pred_idx
inference,0,offline,64063,10250096,3
inference,1,offline,64058,10249294,9
inference,2,offline,64058,10249302,9
inference,3,offline,64058,10249319,9
inference,4,offline,64058,10249292,9
inference,5,offline,64058,10249324,9
inference,6,offline,64058,10249326,9
inference,7,offline,64058,10249315,9
inference,8,offline,64058,10249306,9
inference,9,offline,64061,10249859,9
inference,10,offline,64056,10249029,9
inference,11,offline,64056,10249041,9
inference,12,offline,64058,10249364,9
inference,13,offline,64058,10249320,9
inference,14,offline,64058,10249352,9
inference,15,offline,64058,10249296,9
inference,16,offline,64058,10249341,9
inference,17,offline,64058,10249330,9
inference,18,offline,64056,10249063,9
inference,19,offline,64061,10249859,9
inference,20,offline,64056,10249046,9
inference,21,offline,64058,10249309,9
inference,22,offline,64059,10249554,9
inference,23,offline,64058,10249316,9
inference,24,offline,64058,10249303,9
inference,25,offline,64056,10249062,9
inference,26,offline,64058,10249303,9
inference,27,offline,64058,10249325,9
inference,28,offline,64056,10249038,9
inference,29,offline,64058,10249326,9
inference,30,offline,64060,10249630,9
inference,31,offline,64056,10249009,9
inference,32,offline,64058,10249330,9
inference,33,offline,64061,10249853,9
inference,34,offline,64056,10249022,9
inference,35,offline,64056,10248991,9
inference,36,offline,64058,10249313,9
inference,37,offline,64058,10249313,9
inference,38,offline,64058,10249319,9
inference,39,offline,64058,10249331,9
inference,40,offline,64056,10249057,9
inference,41,offline,64056,10249026,9
inference,42,offline,64058,10249327,9
inference,43,offline,64056,10249079,9
inference,44,offline,64058,10249311,9
inference,45,offline,64058,10249308,9
inference,46,offline,64058,10249313,9
inference,47,offline,64056,10249066,9
inference,48,offline,64056,10249011,9
inference,49,offline,64056,10249035,9
