time_ms,time_relative_ms,current_ua
27868.72,-150.0,21835.83
27868.73,-149.9900000000016,21787.59
27868.74,-149.97999999999956,21739.359
27868.75,-149.97000000000116,21787.59
27868.76,-149.96000000000276,21787.59
27868.77,-149.95000000000073,21642.924
27868.78,-149.94000000000233,21980.594
27868.79,-149.9300000000003,21642.924
27868.8,-149.9200000000019,21739.359
27868.81,-149.90999999999985,21884.076
27868.82,-149.90000000000146,22173.729
27868.83,-149.88999999999942,21835.83
27868.84,-149.88000000000102,21787.59
27868.85,-149.87000000000262,21739.359
27868.86,-149.86000000000058,21835.83
27868.87,-149.85000000000218,21980.594
27868.88,-149.84000000000015,21835.83
27868.89,-149.83000000000175,21787.59
27868.9,-149.8199999999997,21642.924
27868.91,-149.8100000000013,21884.076
27868.92,-149.8000000000029,21884.076
27868.93,-149.79000000000087,21884.076
27868.94,-149.78000000000247,21739.359
27868.95,-149.77000000000044,21787.59
27868.96,-149.76000000000204,21739.359
27868.97,-149.75,21884.076
27868.98,-149.7400000000016,21980.594
27868.99,-149.72999999999956,21884.076
27869.0,-149.72000000000116,21739.359
27869.01,-149.71000000000276,21932.332
27869.02,-149.70000000000073,21787.59
27869.03,-149.69000000000233,21884.076
27869.04,-149.6800000000003,21739.359
27869.05,-149.6700000000019,21932.332
27869.06,-149.65999999999985,21787.59
27869.07,-149.65000000000146,21884.076
27869.08,-149.63999999999942,21787.59
27869.09,-149.63000000000102,21980.594
27869.1,-149.62000000000262,21787.59
27869.11,-149.61000000000058,21739.359
27869.12,-149.60000000000218,21980.594
27869.13,-149.59000000000015,22077.145
27869.14,-149.58000000000175,21835.83
27869.15,-149.5699999999997,21642.924
27869.16,-149.5600000000013,21739.359
27869.17,-149.5500000000029,21835.83
27869.18,-149.54000000000087,21884.076
27869.19,-149.53000000000247,21932.332
27869.2,-149.52000000000044,21594.717
27869.21,-149.51000000000204,21739.359
27869.22,-149.5,21787.59
27869.23,-149.4900000000016,22077.145
27869.24,-149.47999999999956,21594.717
27869.25,-149.47000000000116,21835.83
27869.26,-149.46000000000276,21739.359
27869.27,-149.45000000000073,21884.076
27869.28,-149.44000000000233,21739.359
27869.29,-149.4300000000003,21642.924
27869.3,-149.4200000000019,21787.59
27869.31,-149.40999999999985,21835.83
27869.32,-149.40000000000146,21835.83
27869.33,-149.38999999999942,21642.924
27869.34,-149.38000000000102,21739.359
27869.35,-149.37000000000262,21884.076
27869.36,-149.36000000000058,21787.59
27869.37,-149.35000000000218,21980.594
27869.38,-149.34000000000015,21835.83
27869.39,-149.33000000000175,21932.332
27869.4,-149.3199999999997,21546.52
27869.41,-149.3100000000013,21787.59
27869.42,-149.3000000000029,21691.139
27869.43,-149.29000000000087,21884.076
27869.44,-149.28000000000247,21739.359
27869.45,-149.27000000000044,21884.076
27869.46,-149.26000000000204,21787.59
27869.47,-149.25,21691.139
27869.48,-149.2400000000016,21980.594
27869.49,-149.22999999999956,21932.332
27869.5,-149.22000000000116,21835.83
27869.51,-149.21000000000276,21546.52
27869.52,-149.20000000000073,21787.59
27869.53,-149.19000000000233,21835.83
27869.54,-149.1800000000003,21739.359
27869.55,-149.1700000000019,21642.924
27869.56,-149.15999999999985,21835.83
27869.57,-149.15000000000146,21932.332
27869.58,-149.13999999999942,21884.076
27869.59,-149.13000000000102,21546.52
27869.6,-149.12000000000262,21835.83
27869.61,-149.11000000000058,21932.332
27869.62,-149.10000000000218,21884.076
27869.63,-149.09000000000015,21739.359
27869.64,-149.08000000000175,21787.59
27869.65,-149.0699999999997,21787.59
27869.66,-149.0600000000013,21739.359
27869.67,-149.0500000000029,21932.332
27869.68,-149.04000000000087,21787.59
27869.69,-149.03000000000247,21932.332
27869.7,-149.02000000000044,21980.594
27869.71,-149.01000000000204,21980.594
27869.72,-149.0,21932.332
27869.73,-148.9900000000016,21739.359
27869.74,-148.97999999999956,21739.359
27869.75,-148.97000000000116,21739.359
27869.76,-148.96000000000276,21932.332
27869.77,-148.95000000000073,21546.52
27869.78,-148.94000000000233,21787.59
27869.79,-148.9300000000003,21835.83
27869.8,-148.9200000000019,21835.83
27869.81,-148.90999999999985,21787.59
27869.82,-148.90000000000146,21642.924
27869.83,-148.88999999999942,21787.59
27869.84,-148.88000000000102,21739.359
27869.85,-148.87000000000262,21691.139
27869.86,-148.86000000000058,21642.924
27869.87,-148.85000000000218,21739.359
27869.88,-148.84000000000015,21835.83
27869.89,-148.83000000000175,21739.359
27869.9,-148.8199999999997,22028.865
27869.91,-148.8100000000013,21642.924
27869.92,-148.8000000000029,22028.865
27869.93,-148.79000000000087,22028.865
27869.94,-148.78000000000247,21932.332
27869.95,-148.77000000000044,21739.359
27869.96,-148.76000000000204,21932.332
27869.97,-148.75,22125.432
27869.98,-148.7400000000016,21980.594
27869.99,-148.72999999999956,21932.332
27870.0,-148.72000000000116,21932.332
27870.01,-148.71000000000276,21884.076
27870.02,-148.70000000000073,21739.359
27870.03,-148.69000000000233,21980.594
27870.04,-148.6800000000003,21835.83
27870.05,-148.6700000000019,21787.59
27870.06,-148.65999999999985,21739.359
27870.07,-148.65000000000146,21739.359
27870.08,-148.63999999999942,21787.59
27870.09,-148.63000000000102,21642.924
27870.1,-148.62000000000262,21546.52
27870.11,-148.61000000000058,21787.59
27870.12,-148.60000000000218,21787.59
27870.13,-148.59000000000015,21691.139
27870.14,-148.58000000000175,22028.865
27870.15,-148.5699999999997,21884.076
27870.16,-148.5600000000013,21835.83
27870.17,-148.5500000000029,21739.359
27870.18,-148.54000000000087,21739.359
27870.19,-148.53000000000247,21884.076
27870.2,-148.52000000000044,21932.332
27870.21,-148.51000000000204,21691.139
27870.22,-148.5,21739.359
27870.23,-148.4900000000016,21787.59
27870.24,-148.47999999999956,21884.076
27870.25,-148.47000000000116,22028.865
27870.26,-148.46000000000276,21884.076
27870.27,-148.45000000000073,21642.924
27870.28,-148.44000000000233,21932.332
27870.29,-148.4300000000003,21980.594
27870.3,-148.4200000000019,21691.139
27870.31,-148.40999999999985,21787.59
27870.32,-148.40000000000146,21932.332
27870.33,-148.38999999999942,21980.594
27870.34,-148.38000000000102,21884.076
27870.35,-148.37000000000262,21594.717
27870.36,-148.36000000000058,21739.359
27870.37,-148.35000000000218,21787.59
27870.38,-148.34000000000015,21787.59
27870.39,-148.33000000000175,21642.924
27870.4,-148.3199999999997,21980.594
27870.41,-148.3100000000013,21980.594
27870.42,-148.3000000000029,21691.139
27870.43,-148.29000000000087,21835.83
27870.44,-148.28000000000247,21642.924
27870.45,-148.27000000000044,21932.332
27870.46,-148.26000000000204,21835.83
27870.47,-148.25,21739.359
27870.48,-148.2400000000016,21884.076
27870.49,-148.22999999999956,21835.83
27870.5,-148.22000000000116,21884.076
27870.51,-148.21000000000276,21980.594
27870.52,-148.20000000000073,21691.139
27870.53,-148.19000000000233,21787.59
27870.54,-148.1800000000003,21739.359
27870.55,-148.1700000000019,21932.332
27870.56,-148.15999999999985,21932.332
27870.57,-148.15000000000146,21739.359
27870.58,-148.13999999999942,21739.359
27870.59,-148.13000000000102,21884.076
27870.6,-148.12000000000262,22077.145
27870.61,-148.11000000000058,21787.59
27870.62,-148.10000000000218,21787.59
27870.63,-148.09000000000015,21835.83
27870.64,-148.08000000000175,21787.59
27870.65,-148.0699999999997,21835.83
27870.66,-148.0600000000013,21691.139
27870.67,-148.0500000000029,21884.076
27870.68,-148.04000000000087,21739.359
27870.69,-148.03000000000247,21980.594
27870.7,-148.02000000000044,21787.59
27870.71,-148.01000000000204,21835.83
27870.72,-148.0,21980.594
27870.73,-147.9900000000016,21691.139
27870.74,-147.97999999999956,21787.59
27870.75,-147.97000000000116,21932.332
27870.76,-147.96000000000276,21884.076
27870.77,-147.95000000000073,21884.076
27870.78,-147.94000000000233,22222.031
27870.79,-147.9300000000003,21594.717
27870.8,-147.9200000000019,21787.59
27870.81,-147.90999999999985,21546.52
27870.82,-147.90000000000146,21691.139
27870.83,-147.88999999999942,21932.332
27870.84,-147.88000000000102,21739.359
27870.85,-147.87000000000262,21739.359
27870.86,-147.86000000000058,21932.332
27870.87,-147.85000000000218,21739.359
27870.88,-147.84000000000015,21739.359
27870.89,-147.83000000000175,21691.139
27870.9,-147.8199999999997,21787.59
27870.91,-147.8100000000013,21884.076
27870.92,-147.8000000000029,21739.359
27870.93,-147.79000000000087,21546.52
27870.94,-147.78000000000247,21642.924
27870.95,-147.77000000000044,21932.332
27870.96,-147.76000000000204,21739.359
27870.97,-147.75,21739.359
27870.98,-147.7400000000016,21546.52
27870.99,-147.72999999999956,22028.865
27871.0,-147.72000000000116,21932.332
27871.01,-147.71000000000276,21932.332
27871.02,-147.70000000000073,21739.359
27871.03,-147.69000000000233,21739.359
27871.04,-147.6800000000003,21835.83
27871.05,-147.6700000000019,21835.83
27871.06,-147.65999999999985,21594.717
27871.07,-147.65000000000146,21932.332
27871.08,-147.63999999999942,21787.59
27871.09,-147.63000000000102,22125.432
27871.1,-147.62000000000262,21835.83
27871.11,-147.61000000000058,21739.359
27871.12,-147.60000000000218,21642.924
27871.13,-147.59000000000015,21787.59
27871.14,-147.58000000000175,21739.359
27871.15,-147.5699999999997,21739.359
27871.16,-147.5600000000013,21642.924
27871.17,-147.5500000000029,21739.359
27871.18,-147.54000000000087,21932.332
27871.19,-147.53000000000247,21691.139
27871.2,-147.52000000000044,21884.076
27871.21,-147.51000000000204,21739.359
27871.22,-147.5,21884.076
27871.23,-147.4900000000016,22028.865
27871.24,-147.47999999999956,21932.332
27871.25,-147.47000000000116,21884.076
27871.26,-147.46000000000276,21932.332
27871.27,-147.45000000000073,21884.076
27871.28,-147.44000000000233,21787.59
27871.29,-147.4300000000003,21835.83
27871.3,-147.4200000000019,21691.139
27871.31,-147.40999999999985,21642.924
27871.32,-147.40000000000146,21787.59
27871.33,-147.38999999999942,21691.139
27871.34,-147.38000000000102,21980.594
27871.35,-147.37000000000262,21980.594
27871.36,-147.36000000000058,21787.59
27871.37,-147.35000000000218,21642.924
27871.38,-147.34000000000015,21739.359
27871.39,-147.33000000000175,21739.359
27871.4,-147.3199999999997,21642.924
27871.41,-147.3100000000013,21884.076
27871.42,-147.3000000000029,21835.83
27871.43,-147.29000000000087,21594.717
27871.44,-147.28000000000247,22222.031
27871.45,-147.27000000000044,21932.332
27871.46,-147.26000000000204,21739.359
27871.47,-147.25,21642.924
27871.48,-147.2400000000016,21739.359
27871.49,-147.22999999999956,21835.83
27871.5,-147.22000000000116,21739.359
27871.51,-147.21000000000276,21787.59
27871.52,-147.20000000000073,21739.359
27871.53,-147.19000000000233,21980.594
27871.54,-147.1800000000003,21835.83
27871.55,-147.1700000000019,21835.83
27871.56,-147.15999999999985,21980.594
27871.57,-147.15000000000146,21932.332
27871.58,-147.13999999999942,21739.359
27871.59,-147.13000000000102,21691.139
27871.6,-147.12000000000262,21884.076
27871.61,-147.11000000000058,21691.139
27871.62,-147.10000000000218,21980.594
27871.63,-147.09000000000015,21980.594
27871.64,-147.08000000000175,21739.359
27871.65,-147.0699999999997,21787.59
27871.66,-147.0600000000013,21835.83
27871.67,-147.0500000000029,21835.83
27871.68,-147.04000000000087,21691.139
27871.69,-147.03000000000247,21642.924
27871.7,-147.02000000000044,21884.076
27871.71,-147.01000000000204,21884.076
27871.72,-147.0,21787.59
27871.73,-146.9900000000016,21835.83
27871.74,-146.97999999999956,21932.332
27871.75,-146.97000000000116,21739.359
27871.76,-146.96000000000276,21739.359
27871.77,-146.95000000000073,21594.717
27871.78,-146.94000000000233,21787.59
27871.79,-146.9300000000003,21932.332
27871.8,-146.9200000000019,21884.076
27871.81,-146.90999999999985,21787.59
27871.82,-146.90000000000146,21739.359
27871.83,-146.88999999999942,21691.139
27871.84,-146.88000000000102,21787.59
27871.85,-146.87000000000262,21932.332
27871.86,-146.86000000000058,21739.359
27871.87,-146.85000000000218,21691.139
27871.88,-146.84000000000015,21594.717
27871.89,-146.83000000000175,21980.594
27871.9,-146.8199999999997,21739.359
27871.91,-146.8100000000013,21787.59
27871.92,-146.8000000000029,21787.59
27871.93,-146.79000000000087,21980.594
27871.94,-146.78000000000247,21642.924
27871.95,-146.77000000000044,21787.59
27871.96,-146.76000000000204,21835.83
27871.97,-146.75,21884.076
27871.98,-146.7400000000016,21691.139
27871.99,-146.72999999999956,21787.59
27872.0,-146.72000000000116,21691.139
27872.01,-146.71000000000276,21884.076
27872.02,-146.70000000000073,21739.359
27872.03,-146.69000000000233,21884.076
27872.04,-146.6800000000003,21739.359
27872.05,-146.6700000000019,21835.83
27872.06,-146.65999999999985,21980.594
27872.07,-146.65000000000146,21884.076
27872.08,-146.63999999999942,21739.359
27872.09,-146.63000000000102,21546.52
27872.1,-146.62000000000262,21980.594
27872.11,-146.61000000000058,21932.332
27872.12,-146.60000000000218,21884.076
27872.13,-146.59000000000015,21835.83
27872.14,-146.58000000000175,21691.139
27872.15,-146.5699999999997,21835.83
27872.16,-146.5600000000013,21932.332
27872.17,-146.5500000000029,21691.139
27872.18,-146.54000000000087,21835.83
27872.19,-146.53000000000247,21642.924
27872.2,-146.52000000000044,21787.59
27872.21,-146.51000000000204,21787.59
27872.22,-146.5,21787.59
27872.23,-146.4900000000016,21932.332
27872.24,-146.47999999999956,21787.59
27872.25,-146.47000000000116,21884.076
27872.26,-146.46000000000276,21691.139
27872.27,-146.45000000000073,21787.59
27872.28,-146.44000000000233,22125.432
27872.29,-146.4300000000003,21932.332
27872.3,-146.4200000000019,21835.83
27872.31,-146.40999999999985,21884.076
27872.32,-146.40000000000146,21884.076
27872.33,-146.38999999999942,22028.865
27872.34,-146.38000000000102,21835.83
27872.35,-146.37000000000262,21642.924
27872.36,-146.36000000000058,21739.359
27872.37,-146.35000000000218,21835.83
27872.38,-146.34000000000015,21787.59
27872.39,-146.33000000000175,21739.359
27872.4,-146.3199999999997,21932.332
27872.41,-146.3100000000013,21884.076
27872.42,-146.3000000000029,21835.83
27872.43,-146.29000000000087,21884.076
27872.44,-146.28000000000247,21594.717
27872.45,-146.27000000000044,21739.359
27872.46,-146.26000000000204,21884.076
27872.47,-146.25,21932.332
27872.48,-146.2400000000016,21498.33
27872.49,-146.22999999999956,21739.359
27872.5,-146.22000000000116,21739.359
27872.51,-146.21000000000276,21932.332
27872.52,-146.20000000000073,21691.139
27872.53,-146.19000000000233,21884.076
27872.54,-146.1800000000003,21835.83
27872.55,-146.1700000000019,21884.076
27872.56,-146.15999999999985,22125.432
27872.57,-146.15000000000146,21787.59
27872.58,-146.13999999999942,21787.59
27872.59,-146.13000000000102,21932.332
27872.6,-146.12000000000262,21835.83
27872.61,-146.11000000000058,21739.359
27872.62,-146.10000000000218,21739.359
27872.63,-146.09000000000015,21835.83
27872.64,-146.08000000000175,21835.83
27872.65,-146.0699999999997,21835.83
27872.66,-146.0600000000013,21594.717
27872.67,-146.0500000000029,21642.924
27872.68,-146.04000000000087,21884.076
27872.69,-146.03000000000247,21787.59
27872.7,-146.02000000000044,21642.924
27872.71,-146.01000000000204,21739.359
27872.72,-146.0,21932.332
27872.73,-145.9900000000016,22077.145
27872.74,-145.97999999999956,22125.432
27872.75,-145.97000000000116,21787.59
27872.76,-145.96000000000276,21980.594
27872.77,-145.95000000000073,21739.359
27872.78,-145.94000000000233,21884.076
27872.79,-145.9300000000003,21835.83
27872.8,-145.9200000000019,21787.59
27872.81,-145.90999999999985,21835.83
27872.82,-145.90000000000146,21835.83
27872.83,-145.88999999999942,22077.145
27872.84,-145.88000000000102,21787.59
27872.85,-145.87000000000262,21739.359
27872.86,-145.86000000000058,21884.076
27872.87,-145.85000000000218,21884.076
27872.88,-145.84000000000015,21594.717
27872.89,-145.83000000000175,21739.359
27872.9,-145.8199999999997,21642.924
27872.91,-145.8100000000013,21739.359
27872.92,-145.8000000000029,21642.924
27872.93,-145.79000000000087,21594.717
27872.94,-145.78000000000247,21787.59
27872.95,-145.77000000000044,21835.83
27872.96,-145.76000000000204,21932.332
27872.97,-145.75,21835.83
27872.98,-145.7400000000016,21739.359
27872.99,-145.72999999999956,21546.52
27873.0,-145.72000000000116,21739.359
27873.01,-145.71000000000276,21546.52
27873.02,-145.70000000000073,21642.924
27873.03,-145.69000000000233,21835.83
27873.04,-145.6800000000003,21594.717
27873.05,-145.6700000000019,21787.59
27873.06,-145.65999999999985,21884.076
27873.07,-145.65000000000146,21932.332
27873.08,-145.63999999999942,21884.076
27873.09,-145.63000000000102,21835.83
27873.1,-145.62000000000262,21739.359
27873.11,-145.61000000000058,21884.076
27873.12,-145.60000000000218,21787.59
27873.13,-145.59000000000015,21980.594
27873.14,-145.58000000000175,21835.83
27873.15,-145.5699999999997,21884.076
27873.16,-145.5600000000013,21835.83
27873.17,-145.5500000000029,21884.076
27873.18,-145.54000000000087,21980.594
27873.19,-145.53000000000247,21739.359
27873.2,-145.52000000000044,21787.59
27873.21,-145.51000000000204,21932.332
27873.22,-145.5,21884.076
27873.23,-145.4900000000016,21980.594
27873.24,-145.47999999999956,21691.139
27873.25,-145.47000000000116,21787.59
27873.26,-145.46000000000276,21980.594
27873.27,-145.45000000000073,21932.332
27873.28,-145.44000000000233,21594.717
27873.29,-145.4300000000003,21787.59
27873.3,-145.4200000000019,21980.594
27873.31,-145.40999999999985,21739.359
27873.32,-145.40000000000146,21739.359
27873.33,-145.38999999999942,21835.83
27873.34,-145.38000000000102,21835.83
27873.35,-145.37000000000262,22077.145
27873.36,-145.36000000000058,21932.332
27873.37,-145.35000000000218,21691.139
27873.38,-145.34000000000015,21739.359
27873.39,-145.33000000000175,21642.924
27873.4,-145.3199999999997,21932.332
27873.41,-145.3100000000013,21787.59
27873.42,-145.3000000000029,21835.83
27873.43,-145.29000000000087,21884.076
27873.44,-145.28000000000247,21884.076
27873.45,-145.27000000000044,21691.139
27873.46,-145.26000000000204,21787.59
27873.47,-145.25,21787.59
27873.48,-145.2400000000016,21884.076
27873.49,-145.22999999999956,21787.59
27873.5,-145.22000000000116,21594.717
27873.51,-145.21000000000276,21835.83
27873.52,-145.20000000000073,21980.594
27873.53,-145.19000000000233,22173.729
27873.54,-145.1800000000003,21980.594
27873.55,-145.1700000000019,21884.076
27873.56,-145.15999999999985,21932.332
27873.57,-145.15000000000146,21980.594
27873.58,-145.13999999999942,22028.865
27873.59,-145.13000000000102,21787.59
27873.6,-145.12000000000262,21739.359
27873.61,-145.11000000000058,21980.594
27873.62,-145.10000000000218,21884.076
27873.63,-145.09000000000015,21835.83
27873.64,-145.08000000000175,21884.076
27873.65,-145.0699999999997,21835.83
27873.66,-145.0600000000013,22028.865
27873.67,-145.0500000000029,21787.59
27873.68,-145.04000000000087,21787.59
27873.69,-145.03000000000247,21691.139
27873.7,-145.02000000000044,21884.076
27873.71,-145.01000000000204,21691.139
27873.72,-145.0,21739.359
27873.73,-144.9900000000016,21739.359
27873.74,-144.97999999999956,21546.52
27873.75,-144.97000000000116,21884.076
