peak_number,window_start_ms,window_end_ms,peak_time_ms,peak_current_ua,baseline_current_ua,threshold_current_ua,start_ms,end_ms,duration_ms,mean_current_ua,mean_excess_current_ua,charge_total_uc,charge_uc,energy_total_uj,energy_uj
1,0.0,5000.0,3384.79,24590.783,21586.637,21596.2784,3216.47,3387.43,170.97000000000003,22356.438280339917,769.8012803416075,3822.2802527898552,131.61292490000469,12537.079229150724,431.6903936720153
2,5000.0,10000.0,7864.21,24444.703,21538.439,21548.078599999997,7693.96,7864.85,170.90000000000032,22379.656906083816,841.2179060853937,3824.6833652498585,143.76414014999835,12544.961438019534,471.54637969199456
3,10000.0,15000.0,13605.36,24542.082,21634.844,21915.1466,13431.53,13605.36,173.83999999999992,22351.656431257004,716.8124312586415,3885.6119540098143,124.61067305000549,12744.80720915219,408.723007604018
4,15000.0,20000.0,18712.05,24639.492,21586.637,21596.2784,18543.81,18714.48,170.67999999999824,22380.734238807956,794.0972388094999,3819.9437198798096,135.53651672000444,12529.415401205775,444.55977484161457
5,20000.0,25000.0,22246.31,24590.783,21442.066,21461.3406,22076.68,22247.97,171.30000000000086,22344.9908814929,902.92488149446,3827.696937999841,154.671032200002,12554.845956639478,507.32098561600657
6,25000.0,30000.0,26787.2,24590.783,21634.844,21915.1466,26615.03,26788.86,173.84000000000174,22372.324812814655,737.4808128163954,3889.204945459792,128.20366450000606,12756.592221108116,420.5080195600198
