metric,unit,direction,v1_vs_v0_raw_pct,v1_vs_v0_improvement_pct,v2_vs_v1_raw_pct,v2_vs_v1_improvement_pct,v2_vs_v0_raw_pct,v2_vs_v0_improvement_pct
CNN latency avg,ms,lower,-56.23841228537947,56.23841228537947,-12.032787717040243,12.032787717040243,-61.50415123668612,61.50415123668612
Cycles avg,cycles,lower,-56.23834119318973,56.23834119318973,-12.03285179889949,12.03285179889949,-61.50411674215326,61.50411674215326
Throughput,inf/s,higher,128.51090470511076,128.51090470511076,13.678718928064896,13.678718928064896,159.7682690797011,159.7682690797011
End-to-end lower bound,ms,lower,-15.718823831412218,15.718823831412218,-1.7462874499627996,1.7462874499627996,-17.190615433525306,17.190615433525306
Text,B,lower,-65.46750947075697,65.46750947075697,-9.332333552035491,9.332333552035491,-68.690196670771,68.690196670771
Data,B,lower,39.2040871201936,-39.2040871201936,0.0,-0.0,39.2040871201936,-39.2040871201936
BSS,B,lower,-28.16579007146726,28.16579007146726,-2.4908781318414013,2.4908781318414013,-29.95509269775813,29.95509269775813
Static SRAM,B,lower,-24.054932073242764,24.054932073242764,-2.2122842266727156,2.2122842266727156,-25.735052831922296,25.735052831922296
ELF size,B,lower,-14.28247299129089,14.28247299129089,-0.9506987287819247,0.9506987287819247,-15.097388430905992,15.097388430905992
AI weights,B,lower,-74.83474672854045,74.83474672854045,-13.721027451344698,13.721027451344698,-78.28767803811783,78.28767803811783
AI activations,B,lower,-23.389992817811827,23.389992817811827,-8.0,8.0,-29.518793392386883,29.518793392386883
MAC ops,MAC,lower,1.3397124835605023,-1.3397124835605023,-14.488983508070985,14.488983508070985,-13.343381745309129,13.343381745309129
MOPS/s,MOPS/s,higher,131.5722938217422,131.5722938217422,-2.792171909608807,-2.792171909608807,125.10639728321476,125.10639728321476
MAC/cycle,MAC/cycle,higher,131.5722938217422,131.5722938217422,-2.792171909608804,-2.792171909608804,125.10639728321473,125.10639728321473
Current,mA,lower,-7.182977136874672,7.182977136874672,2.3015761615389905,-2.3015761615389905,-5.046722664806785,5.046722664806785
Power,W,lower,-7.1829771368746815,7.1829771368746815,2.3015761615389985,-2.3015761615389985,-5.046722664806787,5.046722664806787
Energy/inference,uJ,lower,-59.38179712565401,59.38179712565401,-10.00815532916522,10.00815532916522,-63.44692996123402,63.44692996123402
MAC/J,MAC/J,higher,149.49334365446674,149.49334365446674,-4.979149161010526,-4.979149161010526,137.07069792711826,137.07069792711826
