variant,label,detected_peaks,selected_peak,avg_peak_duration_ms,avg_peak_mean_current_ma,avg_peak_mean_excess_current_ma,avg_peak_energy_total_uj,avg_peak_energy_uj,duration_vs_summary_ratio
v0,v0 unquantized,6,1,397.23999999999995,24.095041586763724,2.917810920094425,31394.56696934765,3801.7535684666495,0.9999953848432377
v1,v1 quantized,6,5,171.92166666666685,22.36430025846604,0.7937224251343329,12611.283575879303,447.3914268309448,0.9889687412515015
v2,v2 pruned quantized,6,5,153.09833333333327,22.8790316619099,1.6215234952423654,11488.992332194684,814.2508107902592,1.001155611312851
