time_ms,time_relative_ms,current_ua
9489.49,-300.0,10584.114
9489.5,-299.9899999999998,10445.223
9489.51,-299.97999999999956,10769.417
9489.52,-299.96999999999935,12163.331
9489.53,-299.9599999999991,12256.519
9489.54,-299.9499999999989,12349.738
9489.55,-299.9400000000005,12209.921
9489.56,-299.9300000000003,12070.176
9489.57,-299.9200000000001,11930.504
9489.58,-299.90999999999985,11930.504
9489.59,-299.89999999999964,11697.881
9489.6,-299.8899999999994,11697.881
9489.61,-299.8799999999992,11883.964
9489.62,-299.869999999999,11697.881
9489.63,-299.8600000000006,11604.888
9489.64,-299.85000000000036,11558.404
9489.65,-299.84000000000015,11604.888
9489.66,-299.8299999999999,11419.0
9489.67,-299.8199999999997,11372.549
9489.68,-299.8099999999995,11419.0
9489.69,-299.7999999999993,11140.413
9489.7,-299.78999999999905,11233.243
9489.71,-299.78000000000065,10954.85
9489.72,-299.77000000000044,12023.61
9489.73,-299.7600000000002,12676.265
9489.74,-299.75,12582.931
9489.75,-299.7399999999998,12536.276
9489.76,-299.72999999999956,12396.361
9489.77,-299.71999999999935,12442.991
9489.78,-299.7099999999991,12303.125
9489.79,-299.6999999999989,12209.921
9489.8,-299.6900000000005,12256.519
9489.81,-299.6800000000003,12256.519
9489.82,-299.6700000000001,11977.054
9489.83,-299.65999999999985,11977.054
9489.84,-299.64999999999964,11883.964
9489.85,-299.6399999999994,11883.964
9489.86,-299.6299999999992,11744.39
9489.87,-299.619999999999,11558.404
9489.88,-299.6100000000006,11697.881
9489.89,-299.60000000000036,11558.404
9489.9,-299.59000000000015,11465.46
9489.91,-299.5799999999999,11326.105
9489.92,-299.5699999999997,11140.413
9489.93,-299.5599999999995,11279.67
9489.94,-299.5499999999993,11140.413
9489.95,-299.53999999999905,11047.615
9489.96,-299.53000000000065,11186.823
9489.97,-299.52000000000044,10954.85
9489.98,-299.5100000000002,11186.823
9489.99,-299.5,10769.417
9490.0,-299.4899999999998,10676.749
9490.01,-299.47999999999956,10908.479
9490.02,-299.46999999999935,10723.079
9490.03,-299.4599999999991,10815.763
9490.04,-299.4499999999989,10723.079
9490.05,-299.4400000000005,10630.428
9490.06,-299.4300000000003,10815.763
9490.07,-299.4200000000001,10630.428
9490.08,-299.40999999999985,10491.512
9490.09,-299.39999999999964,10584.114
9490.1,-299.3899999999994,10491.512
9490.11,-299.3799999999992,10398.941
9490.12,-299.369999999999,10398.941
9490.13,-299.3600000000006,10213.898
9490.14,-299.35000000000036,10491.512
9490.15,-299.34000000000015,12209.921
9490.16,-299.3299999999999,12070.176
9490.17,-299.3199999999997,12163.331
9490.18,-299.3099999999995,12256.519
9490.19,-299.2999999999993,12256.519
9490.2,-299.28999999999905,12116.749
9490.21,-299.28000000000065,12023.61
9490.22,-299.27000000000044,11930.504
9490.23,-299.2600000000002,11930.504
9490.24,-299.25,11697.881
9490.25,-299.2399999999998,11651.381
9490.26,-299.22999999999956,11697.881
9490.27,-299.21999999999935,11558.404
9490.28,-299.2099999999991,11465.46
9490.29,-299.1999999999989,11558.404
9490.3,-299.1900000000005,11372.549
9490.31,-299.1800000000003,11140.413
9490.32,-299.1700000000001,11279.67
9490.33,-299.15999999999985,11233.243
9490.34,-299.14999999999964,10954.85
9490.35,-299.1399999999994,11094.01
9490.36,-299.1299999999992,11140.413
9490.37,-299.119999999999,11883.964
9490.38,-299.1100000000006,12629.594
9490.39,-299.10000000000036,12489.63
9490.4,-299.09000000000015,12536.276
9490.41,-299.0799999999999,12489.63
9490.42,-299.0699999999997,12349.738
9490.43,-299.0599999999995,12303.125
9490.44,-299.0499999999993,12256.519
9490.45,-299.03999999999905,12070.176
9490.46,-299.03000000000065,12116.749
9490.47,-299.02000000000044,11930.504
9490.48,-299.0100000000002,11930.504
9490.49,-299.0,11977.054
9490.5,-298.9899999999998,11697.881
9490.51,-298.97999999999956,11697.881
9490.52,-298.96999999999935,11651.381
9490.53,-298.9599999999991,11604.888
9490.54,-298.9499999999989,11511.928
9490.55,-298.9400000000005,11279.67
9490.56,-298.9300000000003,11372.549
9490.57,-298.9200000000001,11326.105
9490.58,-298.90999999999985,11140.413
9490.59,-298.89999999999964,11279.67
9490.6,-298.8899999999994,11186.823
9490.61,-298.8799999999992,11094.01
9490.62,-298.869999999999,11186.823
9490.63,-298.8600000000006,10954.85
9490.64,-298.85000000000036,11094.01
9490.65,-298.84000000000015,10908.479
9490.66,-298.8299999999999,10954.85
9490.67,-298.8199999999997,10815.763
9490.68,-298.8099999999995,10769.417
9490.69,-298.7999999999993,10954.85
9490.7,-298.78999999999905,10723.079
9490.71,-298.78000000000065,10676.749
9490.72,-298.77000000000044,10723.079
9490.73,-298.7600000000002,10630.428
9490.74,-298.75,10584.114
9490.75,-298.7399999999998,10398.941
