event,run,mode,cnn_us,cycles,pred_idx
inference,0,offline,4958,3966400,9
inference,1,offline,2315,1852000,9
inference,2,offline,2267,1813600,9
inference,3,offline,2175,1740000,9
inference,4,offline,2188,1750400,9
inference,5,offline,2217,1773600,9
inference,6,offline,2171,1736800,9
inference,7,offline,2208,1766400,9
inference,8,offline,2196,1756800,9
inference,9,offline,2210,1768000,9
inference,10,offline,2196,1756800,9
inference,11,offline,2188,1750400,9
inference,12,offline,2193,1754400,9
inference,13,offline,2196,1756800,9
inference,14,offline,2209,1767200,9
inference,15,offline,2196,1756800,9
inference,16,offline,2233,1786400,9
inference,17,offline,2235,1788000,9
inference,18,offline,2172,1737600,9
inference,19,offline,2189,1751200,9
inference,20,offline,2193,1754400,9
inference,21,offline,2168,1734400,9
inference,22,offline,2235,1788000,9
inference,23,offline,2198,1758400,9
inference,24,offline,2220,1776000,9
inference,25,offline,2184,1747200,9
inference,26,offline,2222,1777600,9
inference,27,offline,2234,1787200,9
inference,28,offline,2233,1786400,9
inference,29,offline,2234,1787200,9
inference,30,offline,2214,1771200,9
inference,31,offline,2195,1756000,9
inference,32,offline,2281,1824800,9
inference,33,offline,2196,1756800,9
inference,34,offline,2193,1754400,9
inference,35,offline,2187,1749600,9
inference,36,offline,2214,1771200,9
inference,37,offline,2235,1788000,9
inference,38,offline,2295,1836000,9
inference,39,offline,2211,1768800,9
inference,40,offline,2217,1773600,9
inference,41,offline,2194,1755200,9
inference,42,offline,2184,1747200,9
inference,43,offline,2210,1768000,9
inference,44,offline,2256,1804800,9
inference,45,offline,2185,1748000,9
inference,46,offline,2197,1757600,9
inference,47,offline,2195,1756000,9
inference,48,offline,2185,1748000,9
inference,49,offline,2198,1758400,9
