time_ms,time_relative_ms,current_ua
17198.81,-364.4499999999971,20864.52
17198.82,-364.4399999999987,21008.797
17198.83,-364.42999999999665,20960.695
17198.84,-364.41999999999825,20672.262
17198.85,-364.40999999999985,20864.52
17198.86,-364.3999999999978,20912.604
17198.87,-364.3899999999994,20864.52
17198.88,-364.3799999999974,20960.695
17198.89,-364.369999999999,20960.695
17198.9,-364.35999999999694,20864.52
17198.91,-364.34999999999854,20960.695
17198.92,-364.34000000000015,20864.52
17198.93,-364.3299999999981,21008.797
17198.94,-364.3199999999997,21008.797
17198.95,-364.3099999999977,20960.695
17198.96,-364.2999999999993,21105.021
17198.97,-364.28999999999724,21153.146
17198.98,-364.27999999999884,21105.021
17198.99,-364.2699999999968,21105.021
17199.0,-364.2599999999984,20960.695
17199.01,-364.25,20912.604
17199.02,-364.23999999999796,21105.021
17199.03,-364.22999999999956,21105.021
17199.04,-364.2199999999975,20912.604
17199.05,-364.2099999999991,21008.797
17199.06,-364.1999999999971,21105.021
17199.07,-364.1899999999987,21153.146
17199.08,-364.17999999999665,21056.904
17199.09,-364.16999999999825,21105.021
17199.1,-364.15999999999985,21008.797
17199.11,-364.1499999999978,20960.695
17199.12,-364.1399999999994,21008.797
17199.13,-364.1299999999974,21056.904
17199.14,-364.119999999999,20960.695
17199.15,-364.10999999999694,20960.695
17199.16,-364.09999999999854,20960.695
17199.17,-364.09000000000015,21008.797
17199.18,-364.0799999999981,20864.52
17199.19,-364.0699999999997,20960.695
17199.2,-364.0599999999977,21105.021
17199.21,-364.0499999999993,21153.146
17199.22,-364.03999999999724,21201.279
17199.23,-364.02999999999884,21056.904
17199.24,-364.0199999999968,21105.021
17199.25,-364.0099999999984,21056.904
17199.26,-364.0,20960.695
17199.27,-363.98999999999796,20912.604
17199.28,-363.97999999999956,21008.797
17199.29,-363.9699999999975,21056.904
17199.3,-363.9599999999991,21008.797
17199.31,-363.9499999999971,21297.57
17199.32,-363.9399999999987,20960.695
17199.33,-363.92999999999665,21056.904
17199.34,-363.91999999999825,21105.021
17199.35,-363.90999999999985,21008.797
17199.36,-363.8999999999978,21056.904
17199.37,-363.8899999999994,21008.797
17199.38,-363.8799999999974,21056.904
17199.39,-363.869999999999,21201.279
17199.4,-363.85999999999694,21008.797
17199.41,-363.84999999999854,20768.375
17199.42,-363.84000000000015,20960.695
17199.43,-363.8299999999981,21008.797
17199.44,-363.8199999999997,20960.695
17199.45,-363.8099999999977,20960.695
17199.46,-363.7999999999993,20912.604
17199.47,-363.78999999999724,21008.797
17199.48,-363.77999999999884,21153.146
17199.49,-363.7699999999968,21105.021
17199.5,-363.7599999999984,21008.797
17199.51,-363.75,21056.904
17199.52,-363.73999999999796,21153.146
17199.53,-363.72999999999956,21056.904
17199.54,-363.7199999999975,20960.695
17199.55,-363.7099999999991,20960.695
17199.56,-363.6999999999971,21008.797
17199.57,-363.6899999999987,21105.021
17199.58,-363.67999999999665,20960.695
17199.59,-363.66999999999825,21105.021
17199.6,-363.65999999999985,21056.904
17199.61,-363.6499999999978,21105.021
17199.62,-363.6399999999994,21008.797
17199.63,-363.6299999999974,21008.797
17199.64,-363.619999999999,21105.021
