peak_number,window_start_ms,window_end_ms,peak_time_ms,peak_current_ua,baseline_current_ua,threshold_current_ua,start_ms,end_ms,duration_ms,mean_current_ua,mean_excess_current_ua,charge_total_uc,charge_uc,energy_total_uj,energy_uj
1,0.0,5000.0,2471.15,26741.701,21105.021,21695.1192,2245.7,2564.14,318.45000000000005,24057.782514966355,2952.7615149625226,7661.200841888925,940.3069044399673,25128.738761395674,3084.2066465630924
2,5000.0,10000.0,7027.35,26447.469,21201.279,21772.1256,6627.35,7092.61,465.2699999999993,23616.932159286236,2415.6531592836627,10988.250025747757,1123.9309454201723,36041.46008445264,3686.493500978165
3,10000.0,15000.0,12909.02,26643.592,21201.279,21772.1256,12683.52,13001.95,318.4400000000003,24112.31371659013,2911.0347165870207,7678.325179908905,926.9898951500523,25184.906590101207,3040.5268560921713
4,15000.0,20000.0,17563.26,26349.455,21345.729,21887.6856,17337.64,17656.04,318.41000000000145,24112.94049898233,2767.2114989796596,7677.801384278908,881.107813389899,25183.188540434818,2890.0336279188687
5,20000.0,25000.0,21802.02,26643.592,21008.797,21637.5896,21402.02,21867.42,465.4099999999978,23685.288823105115,2676.4918231025504,11023.370271157686,1245.6660593900203,36156.65448939721,4085.7846747992667
6,25000.0,30000.0,28027.08,26643.592,21201.279,21781.8494,27627.08,28092.38,465.30999999999926,23635.427724079178,2434.1487240762026,10997.800874287417,1132.6337428001593,36072.786867662726,3715.038676384522
