variant,peak_number,duration_ms,mean_current_ma,mean_excess_current_ma,charge_total_uc,charge_uc,energy_total_uj,energy_uj
v0,1,397.24,24.062410926696934,2.9573899266935957,9558.552116518307,1174.7935744798374,31352.050942180045,3853.3229242938664
v0,2,397.23999999999955,24.07248747205968,2.871208472056957,9562.554923398115,1140.5588534401747,31365.180148745814,3741.0330392837727
v0,3,397.2400000000014,24.104775437269677,2.9034964372669263,9575.380994697984,1153.3849247401688,31407.249662609385,3783.1025531477535
v0,4,397.23999999999955,24.104523072578264,2.7587940725763413,9575.280745348029,1095.9033573898434,31406.920844741533,3594.5630122386865
v0,5,397.23999999999955,24.116198436413793,3.107401436411625,9579.918666878086,1234.3841466000242,31422.13322736012,4048.780000848079
v0,6,397.23999999999955,24.109854175564003,2.9085751755611016,9577.398472697867,1155.4024027401638,31413.866990449,3789.719880987737
v1,1,170.97000000000003,22.356438280339916,0.7698012803416074,3822.2802527898552,131.61292490000469,12537.079229150724,431.6903936720153
v1,2,170.90000000000032,22.379656906083817,0.8412179060853937,3824.6833652498585,143.76414014999835,12544.961438019534,471.54637969199456
v1,3,173.83999999999992,22.351656431257005,0.7168124312586415,3885.6119540098143,124.61067305000549,12744.80720915219,408.723007604018
v1,4,170.67999999999824,22.380734238807957,0.7940972388094999,3819.9437198798096,135.53651672000444,12529.415401205775,444.55977484161457
v1,5,171.30000000000086,22.3449908814929,0.90292488149446,3827.696937999841,154.671032200002,12554.845956639478,507.32098561600657
v1,6,173.84000000000174,22.372324812814654,0.7374808128163954,3889.204945459792,128.20366450000606,12756.592221108116,420.5080195600198
v2,1,153.18000000000006,22.84842472875136,1.639065728750553,3499.9216999501496,251.07208832999297,11479.74317583649,823.5164497223769
v2,2,153.04999999999995,22.883330633584674,1.5295216335837922,3502.2937534701837,234.093286020021,11487.523511382202,767.8259781456688
v2,3,152.78000000000043,22.875041087054118,1.7138140870533085,3494.848777280171,261.83651622000343,11463.10398947896,858.8237732016112
v2,4,153.29999999999723,22.87984733261668,1.5741973326157745,3507.4805960901535,241.32445108999676,11504.536355175704,791.5441995751893
v2,5,153.10000000000014,22.897049125866456,1.6395471258654364,3505.5382211701894,251.01466496998623,11498.16536543822,823.3281011015548
v2,6,153.18000000000188,22.89049706358609,1.6329950635853294,3506.3663402001644,250.14218383998576,11500.88159585654,820.4663629951533
