time_iso,elapsed_s,raw,run,cnn_us,timer_ticks,cycles,pred_idx,pred_reported_idx,accepted,confidence_x10,sample_counter,word_counter
2026-05-08T19:57:14.250,0.5487661361694336,"BENCH,event=inference,run=31,mode=live,cnn_us=1711,timer_ticks=1044,cycles=66816,pred_idx=13,pred_reported_idx=13,accepted=1,confidence_x10=332,sample_counter=786816,word_counter=31",31,1711,1044,66816,13,13,1,332,786816,31
2026-05-08T19:57:16.783,3.0824429988861084,"BENCH,event=inference,run=32,mode=live,cnn_us=1711,timer_ticks=1045,cycles=66880,pred_idx=11,pred_reported_idx=11,accepted=1,confidence_x10=352,sample_counter=826752,word_counter=32",32,1711,1045,66880,11,11,1,352,826752,32
2026-05-08T19:57:17.613,3.911616086959839,"BENCH,event=inference,run=33,mode=live,cnn_us=1711,timer_ticks=1045,cycles=66880,pred_idx=11,pred_reported_idx=20,accepted=0,confidence_x10=195,sample_counter=839552,word_counter=33",33,1711,1045,66880,11,20,0,195,839552,33
2026-05-08T19:57:22.727,9.026416063308716,"BENCH,event=inference,run=34,mode=live,cnn_us=1711,timer_ticks=1045,cycles=66880,pred_idx=13,pred_reported_idx=20,accepted=0,confidence_x10=167,sample_counter=920448,word_counter=34",34,1711,1045,66880,13,20,0,167,920448,34
2026-05-08T19:57:23.556,9.85477066040039,"BENCH,event=inference,run=35,mode=live,cnn_us=1711,timer_ticks=1044,cycles=66816,pred_idx=20,pred_reported_idx=20,accepted=0,confidence_x10=623,sample_counter=933248,word_counter=35",35,1711,1044,66816,20,20,0,623,933248,35
2026-05-08T19:57:24.594,10.893481016159058,"BENCH,event=inference,run=36,mode=live,cnn_us=1711,timer_ticks=1044,cycles=66816,pred_idx=15,pred_reported_idx=20,accepted=0,confidence_x10=207,sample_counter=949376,word_counter=36",36,1711,1044,66816,15,20,0,207,949376,36
2026-05-08T19:57:25.439,11.737678289413452,"BENCH,event=inference,run=37,mode=live,cnn_us=1711,timer_ticks=1044,cycles=66816,pred_idx=2,pred_reported_idx=20,accepted=0,confidence_x10=171,sample_counter=962432,word_counter=37",37,1711,1044,66816,2,20,0,171,962432,37
2026-05-08T19:57:29.072,15.371133089065552,"BENCH,event=inference,run=38,mode=live,cnn_us=1711,timer_ticks=1045,cycles=66880,pred_idx=11,pred_reported_idx=11,accepted=1,confidence_x10=361,sample_counter=1019776,word_counter=38",38,1711,1045,66880,11,11,1,361,1019776,38
