event,run,cnn_us,cycles,pred_idx
inference,0,353848,56615715,2
inference,1,353846,56615412,6
inference,2,353847,56615551,9
inference,3,353847,56615633,9
inference,4,353846,56615452,9
inference,5,353847,56615548,9
inference,6,353847,56615622,9
inference,7,353846,56615476,9
inference,8,353846,56615499,9
inference,9,353847,56615578,9
inference,10,353846,56615366,9
inference,11,353847,56615568,9
inference,12,353847,56615565,9
inference,13,353846,56615433,9
inference,14,353847,56615654,9
inference,15,353847,56615580,9
inference,16,353846,56615438,9
inference,17,353847,56615632,9
inference,18,353847,56615566,9
inference,19,353846,56615471,9
inference,20,353847,56615621,9
inference,21,353847,56615542,9
inference,22,353845,56615305,9
inference,23,353846,56615474,9
inference,24,353847,56615614,9
inference,25,353846,56615370,9
inference,26,353846,56615487,9
inference,27,353847,56615520,9
inference,28,353846,56615426,9
inference,29,353846,56615408,9
inference,30,353847,56615674,9
inference,31,353846,56615454,9
inference,32,353846,56615477,9
inference,33,353848,56615696,9
inference,34,353847,56615547,9
inference,35,353846,56615412,9
inference,36,353847,56615633,9
inference,37,353846,56615474,9
inference,38,353846,56615495,9
inference,39,353847,56615606,9
inference,40,353846,56615402,9
inference,41,353846,56615462,9
inference,42,353847,56615630,9
inference,43,353846,56615503,9
inference,44,353846,56615361,9
inference,45,353846,56615498,9
inference,46,353846,56615518,9
inference,47,353846,56615418,9
inference,48,353847,56615561,9
inference,49,353847,56615612,9
