event,run,cnn_us,cycles,pred_idx
inference,0,397196,63551382,14
inference,1,397195,63551301,14
inference,2,397196,63551370,14
inference,3,397196,63551433,14
inference,4,397196,63551474,14
inference,5,397195,63551359,14
inference,6,397195,63551350,14
inference,7,397196,63551460,14
inference,8,397196,63551391,14
inference,9,397195,63551344,14
inference,10,397195,63551334,14
inference,11,397196,63551434,14
inference,12,397196,63551416,14
inference,13,397195,63551343,14
inference,14,397195,63551339,14
inference,15,397196,63551406,14
inference,16,397196,63551417,14
inference,17,397196,63551425,14
inference,18,397196,63551454,14
inference,19,397195,63551357,14
inference,20,397196,63551401,14
inference,21,397196,63551475,14
inference,22,397196,63551414,14
inference,23,397195,63551349,14
inference,24,397195,63551346,14
inference,25,397195,63551352,14
inference,26,397196,63551433,14
inference,27,397196,63551409,14
inference,28,397195,63551358,14
inference,29,397196,63551375,14
inference,30,397196,63551437,14
inference,31,397196,63551502,14
inference,32,397196,63551394,14
inference,33,397196,63551368,14
inference,34,397196,63551373,14
inference,35,397196,63551453,14
inference,36,397196,63551486,14
inference,37,397196,63551409,14
inference,38,397196,63551369,14
inference,39,397196,63551411,14
inference,40,397196,63551441,14
inference,41,397196,63551490,14
inference,42,397195,63551355,14
inference,43,397196,63551408,14
inference,44,397196,63551412,14
inference,45,397196,63551509,14
inference,46,397196,63551383,14
inference,47,397195,63551314,14
inference,48,397195,63551340,14
inference,49,397196,63551364,14
