peak_number,window_start_ms,window_end_ms,peak_time_ms,peak_current_ua,baseline_current_ua,threshold_current_ua,start_ms,end_ms,duration_ms,mean_current_ua,mean_excess_current_ua,charge_total_uc,charge_uc,energy_total_uj,energy_uj
1,0.0,10808.465,7819.15,25086.328,21546.52,22436.727600000002,7676.81,7856.7,179.8999999999994,22329.23445113959,782.7144511395204,4017.02927775996,140.8103297599944,13175.856031052668,461.8578816127816
2,10808.465,16998.67,13791.11,25086.328,21450.146,22378.9032,13647.82,13827.68,179.87000000000057,22274.338993439127,824.1929934397149,4006.4853547500206,148.24759372999713,13141.271963580068,486.25210743439055
3,16998.67,23094.059999999998,20201.17,25135.119,21594.717,22465.645800000002,20057.24,20237.1,179.86999999999694,22350.029272419262,755.3122724189781,4020.0997652299875,135.85801844000542,13185.927229954359,445.6143004832178
4,23094.059999999998,27493.574999999997,25999.96,25086.328,21450.146,22398.332000000002,25850.13,26018.41,168.28999999999883,22315.96010523436,865.8141052350037,3755.5529261100623,145.70785576999776,12318.213597641005,477.92176692559264
5,27493.574999999997,30000.0,29019.47,25183.918,21594.717,22465.645800000002,28867.89,29036.07,168.19000000000028,22392.72936625209,798.0123662524635,3766.2331521099873,134.2176998800058,12353.244738920757,440.23405560641896
