peak_number,window_start_ms,window_end_ms,peak_time_ms,peak_current_ua,baseline_current_ua,threshold_current_ua,start_ms,end_ms,duration_ms,mean_current_ua,mean_excess_current_ua,charge_total_uc,charge_uc,energy_total_uj,energy_uj
1,0.0,5113.885,3007.33,47234.227,16010.664,22255.3766,3007.28,3007.43,0.1599999999996362,35263.818875000004,19253.154875,5.642211019999999,3.0805047800000005,20.876180773999994,11.397867686000003
2,5113.885,10338.685,7220.44,50072.699,15821.723,22671.9182,7220.36,7220.5,0.15000000000032743,38814.806,22993.083,5.8222209000000005,3.44896245,21.542217330000003,12.761161065
3,10338.685,15931.125,13456.93,49756.145,16388.938,23062.379399999998,13456.83,13457.04,0.22000000000094588,35070.634681818185,18681.69668181819,7.715539630000001,4.10997327,28.547496631000005,15.206901099000001
4,15931.125,20807.54,18405.32,51659.863,15821.723,22989.351000000002,18405.28,18405.47,0.20000000000232832,36428.74515000001,20607.022149999997,7.285749030000002,4.12140443,26.957271411000008,15.249196391000002
5,20807.54,25416.105,23209.76,50283.898,16105.184,22940.9268,23209.69,23209.88,0.20000000000232832,35687.7599,19582.5759,7.1375519800000005,3.9165151799999998,26.408942326000002,14.491106166
6,25416.105,30000.0,27622.45,51077.055,16105.184,23099.5582,27622.37,27622.51,0.14999999999941793,39070.31746666666,22965.133466666666,5.860547620000001,3.444770019999999,21.684026194000005,12.745649073999997
