peak_number,window_start_ms,window_end_ms,peak_time_ms,peak_current_ua,baseline_current_ua,threshold_current_ua,start_ms,end_ms,duration_ms,mean_current_ua,mean_excess_current_ua,charge_total_uc,charge_uc,energy_total_uj,energy_uj
1,0.0,5000.0,2634.11,46345.539,15632.91,23311.06725,2633.23,2635.01,1.7900000000002,41499.792865921794,25866.88286592178,74.28462923000004,46.30172033,274.85312815100013,171.316365221
2,5000.0,10000.0,6876.13,46136.773,15632.91,23258.87575,6875.29,6877.07,1.7899999999997454,41375.63977653631,25742.72977653633,74.06239519999995,46.07948629999999,274.03086223999986,170.49409930999997
3,10000.0,15000.0,12358.65,45146.93,15444.229,22869.90425,12357.84,12359.6,1.7700000000002183,39916.210858757084,24471.981858757063,70.65169322000001,43.31540788999999,261.41126491400007,160.26700919299998
4,15000.0,20000.0,16141.52,46920.305,15538.553,23383.991,16140.72,16142.4,1.690000000000291,41850.752159763324,26312.199159763295,70.72777114999997,44.467616580000005,261.6927532549999,164.53018134600003
5,20000.0,25000.0,21599.75,49861.629,15255.676,23907.16425,21599.47,21601.12,1.6599999999978172,43194.25778313254,27938.581783132537,71.70246792,46.378045760000006,265.299131304,171.59876931200003
6,25000.0,30000.0,26656.72,48125.266,16341.625,24287.53525,26655.46,26657.33,1.8800000000026194,40654.07875531916,24312.453755319148,76.42966805999997,45.70741305999998,282.7897718219999,169.11742832199994
