peak_number,window_start_ms,window_end_ms,peak_time_ms,peak_current_ua,baseline_current_ua,threshold_current_ua,start_ms,end_ms,duration_ms,mean_current_ua,mean_excess_current_ua,charge_total_uc,charge_uc,energy_total_uj,energy_uj
1,0.0,16708.5,14183.05,201383.219,127173.789,145726.1465,14180.37,14183.26,2.8999999999994177,161648.96466551733,34475.17566551724,468.78199753000075,99.97800942999986,2343.9099876500036,499.8900471499993
2,16708.5,21760.0,19234.06,202920.75,127173.789,146110.52925,19231.42,19234.27,2.8600000000021826,165263.67185314695,38089.88285314682,472.65410150000054,108.93706495999992,2363.2705075000026,544.6853247999995
3,21760.0,26811.5,24286.04,211382.563,130219.984,150510.62875,24283.41,24286.24,2.840000000001746,166896.98111267615,36676.99711267608,473.9874263600009,104.16267179999993,2369.9371318000044,520.8133589999997
4,26811.5,30000.0,29337.12,205996.719,130219.984,149164.16775,29334.48,29337.32,2.8500000000001453,165129.86502105277,34909.88102105264,470.6201153100003,99.49316091000003,2353.1005765500013,497.46580455000014
