peak_number,window_start_ms,window_end_ms,peak_time_ms,peak_current_ua,baseline_current_ua,threshold_current_ua,start_ms,end_ms,duration_ms,mean_current_ua,mean_excess_current_ua,charge_total_uc,charge_uc,energy_total_uj,energy_uj
1,0.0,5000.0,2184.54,44056.301,14784.864,20639.1514,2183.78,2185.44,1.6699999999998545,38510.49028742517,23725.62628742516,64.31251877999998,39.621795899999995,210.94506159839992,129.95949055199998
2,5000.0,10000.0,6533.38,46763.453,14549.764,20992.5018,6533.13,6534.79,1.6699999999998545,39870.46637724552,25320.70237724549,66.58367885000007,42.28557296999999,218.3944666280002,138.69667934159995
3,10000.0,15000.0,12268.29,45719.641,14549.764,20783.7394,12267.92,12269.58,1.6699999999998545,39738.66943712575,25188.90543712575,66.36357796000001,42.065472080000006,217.67253570880004,137.9747484224
4,15000.0,20000.0,16795.23,45198.953,14878.962,20942.9602,16794.46,16796.09,1.6400000000010186,39730.21056097561,24851.2485609756,65.15754532000003,40.75604764,213.71674864960008,133.6798362592
5,20000.0,25000.0,21708.42,45876.004,14455.779,20739.824,21708.0,21709.66,1.6699999999998545,39750.398646706606,25294.61964670661,66.38316574000001,42.24201481000001,217.73678362720003,138.5538085768
6,25000.0,30000.0,26984.04,45250.984,14690.8,20802.836799999997,26983.67,26985.36,1.7000000000023283,40230.660170588206,25539.860170588225,68.39212229000002,43.41776229,224.32616111120004,142.41026031119998
